sim_time,vid,latency_s,task_id,action_idx,action_name
53.0,init_35,10.273666684044192,261,1,1
53.0,init_25,3.0546231355512563,264,10,10
54.0,init_30,5.382741514718294,267,8,8
54.0,init_3,3.8983596254275854,266,2,2
54.0,init_14,6.120064356253032,268,7,7
54.0,init_25,3.5498607719617623,269,12,12
53.5,init_29,5.409474174901376,265,10,10
54.0,init_43,14.126610120373318,270,0,0
55.0,init_45,16.467518151658766,275,9,9
54.5,init_4,4.8409948248912045,272,0,0
55.5,init_42,0.7451317323662857,277,0,0
54.5,init_18,6.700817310282689,274,10,10
55.0,init_5,3.4931392147191884,276,3,3
54.5,init_45,12.301361576061284,273,9,9
55.5,init_27,3.6900571634727104,278,12,12
54.0,init_18,10.128736912899447,271,0,0
55.5,init_44,3.4891537899718896,279,7,7
56.0,init_44,3.237135195629452,282,9,9
57.0,init_11,2.3861389203032175,287,14,14
56.5,init_29,6.377077522414302,285,12,12
55.5,init_21,5.847155816748421,280,12,12
56.5,init_3,6.682680951073293,284,2,2
56.0,init_4,15.699008871742734,281,0,0
56.0,init_20,5.002667032909004,283,9,9
56.5,init_28,3.9620612207508272,286,11,11
57.5,init_8,0.899871458363218,289,0,0
57.0,init_19,4.391175225763076,288,11,11
58.0,init_39,1.1191188353658617,290,13,13
58.0,init_7,4.592637031878493,292,11,11
58.0,init_23,8.967413744008347,293,15,15
58.0,init_38,3.0563686142741746,291,8,8
58.5,init_15,5.743898796711477,297,1,1
58.5,init_33,4.434816416255058,295,14,14
58.5,init_24,1.336288110234648,294,6,6
59.0,init_40,3.455148076414271,299,13,13
59.0,init_35,3.1028692125364423,298,7,7
58.5,init_26,3.864657796724823,296,6,6
60.0,init_28,4.155550571599083,304,12,12
59.5,init_2,5.370337024954276,301,8,8
59.5,init_10,6.514791329612377,300,11,11
60.5,init_27,3.7892628995320523,307,12,12
60.5,init_5,5.334453286859184,306,3,3
60.0,init_45,8.112353470055035,303,11,11
60.5,init_12,9.510548243342122,305,5,5
60.0,init_49,1.3602080060220105,302,9,9
60.5,init_23,5.192274802771919,308,15,15
60.5,init_40,4.166556629869264,309,13,13
60.5,init_43,3.8092075766220765,310,10,10
61.5,init_9,3.558640930893052,312,6,6
61.5,init_29,5.531647122025692,313,10,10
62.0,init_38,2.5230487194366593,314,8,8
62.0,init_8,2.0416032488132037,315,5,5
61.0,init_45,6.911931350324233,311,10,10
62.5,init_4,4.018481048910549,316,4,4
62.5,init_17,3.828829306166346,317,6,6
62.5,init_43,2.5000449619500804,318,7,7
63.5,init_45,5.7864283886934595,319,2,2
64.0,init_12,2.6882957049996543,321,5,5
63.5,init_16,3.149466602109797,320,9,9
64.5,init_45,7.414331913958086,324,11,11
65.0,init_21,3.302409687948184,326,6,6
65.0,init_11,2.6460506123464143,325,14,14
64.0,init_19,1.5239505770765023,323,8,8
65.5,init_17,4.890257197879851,327,0,0
64.0,init_49,6.062937051156609,322,0,0
65.5,init_45,11.989912931922314,328,11,11
65.5,init_25,4.987031023004803,329,10,10
66.5,init_9,0.9195787558609347,331,0,0
66.5,init_38,2.1900472685677532,332,8,8
67.0,init_42,7.5359929057545765,334,0,0
66.0,init_45,11.874493983612055,330,11,11
67.0,init_14,7.3128757909270234,335,11,11
66.5,init_13,2.703022700233748,333,6,6
67.0,init_13,2.0331613149496253,337,12,12
67.5,init_48,3.616520285380477,339,16,16
67.0,init_2,3.850147706444106,336,8,8
67.0,init_15,4.211581244781605,338,6,6
67.5,init_15,6.593852118886643,340,1,1
68.0,init_29,4.0244946479128245,342,12,12
67.5,init_18,4.959943850812525,341,13,13
68.5,init_35,6.7270427590040915,347,1,1
68.0,init_33,4.799514907364393,346,15,15
68.0,init_31,4.0859908648730485,345,10,10
68.0,init_46,7.235979224165873,344,12,12
68.5,init_2,7.26310604746671,348,11,11
69.5,init_6,5.5329148560213515,349,16,16
68.0,init_7,3.208098738474295,343,7,7
69.5,init_7,4.788170518630595,350,7,7
69.5,init_23,7.107942404613124,351,8,8
69.5,init_31,3.389503764959983,352,10,10
70.0,init_12,6.467257334111175,353,5,5
70.0,init_2,2.1806923759203625,356,8,8
70.0,init_45,1.9596793727888435,354,12,12
70.0,init_20,7.751509198544076,355,12,12
70.0,init_18,1.2430314391497608,357,0,0
70.5,init_16,4.3346565801013215,358,6,6
70.5,init_1,3.4116593243871156,359,9,9
72.5,init_18,2.1765299190796594,362,10,10
71.5,init_30,18.739406589631418,360,5,5
71.5,init_17,5.906268857798372,361,6,6
73.0,init_35,3.114043065781463,363,13,13
73.5,init_19,3.46715800928643,368,11,11
73.5,init_14,5.247860715296216,367,12,12
73.0,init_28,3.0220598844667954,364,12,12
73.0,init_2,3.4999550780143616,365,8,8
74.0,init_10,3.2405201485595736,369,7,7
73.5,init_49,5.083689965014763,366,10,10
74.5,init_25,6.656490819560487,374,12,12
74.0,init_31,1.9614676487381981,372,9,9
74.5,init_7,4.703574773993097,373,7,7
76.0,init_43,2.386262669414244,378,11,11
